date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:13:25	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225c1d106f-239b%22	https://vladchepel.github.io/robots.txt		(from )
19:13:26	50757/50757	---M-Z	200	added ('OK')	text/html	etag:W/%225bd6191b-c645%22	https://vladchepel.github.io/cannaly/dist/	C:/My%20Web%20Sites/first/vladchepel.github.io/cannaly/dist/index.html	(from )
19:13:26	555136/555136	---M-Z	200	added ('OK')	text/css	etag:W/%225bd6191b-87880%22	https://vladchepel.github.io/cannaly/dist/styles/main.css	C:/My%20Web%20Sites/first/vladchepel.github.io/cannaly/dist/styles/main.css	(from https://vladchepel.github.io/cannaly/dist/)
19:13:26	50757/50757	---M-Z	200	added ('OK')	text/html	etag:W/%225bd6191b-c645%22	https://vladchepel.github.io/cannaly/dist/index.html	C:/My%20Web%20Sites/first/vladchepel.github.io/cannaly/dist/index-2.html	(from https://vladchepel.github.io/cannaly/dist/)
19:13:27	21040/21040	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225bd6191b-5230%22	https://vladchepel.github.io/cannaly/dist/sprites/sprite.svg	C:/My%20Web%20Sites/first/vladchepel.github.io/cannaly/dist/sprites/sprite.svg	(from https://vladchepel.github.io/cannaly/dist/)
19:13:27	14126/14126	---M-Z	200	added ('OK')	text/html	etag:W/%225bd6191b-372e%22	https://vladchepel.github.io/cannaly/dist/messages.html	C:/My%20Web%20Sites/first/vladchepel.github.io/cannaly/dist/messages.html	(from https://vladchepel.github.io/cannaly/dist/)
19:13:28	6264/6264	---M--	200	added ('OK')	image/jpeg	etag:%225bd6191b-1878%22	https://vladchepel.github.io/cannaly/dist/images/products/product-thumb-4.jpg	C:/My%20Web%20Sites/first/vladchepel.github.io/cannaly/dist/images/products/product-thumb-4.jpg	(from https://vladchepel.github.io/cannaly/dist/)
19:13:28	5702/5702	---M--	200	added ('OK')	image/jpeg	etag:%225bd6191b-1646%22	https://vladchepel.github.io/cannaly/dist/images/products/product-thumb-5.jpg	C:/My%20Web%20Sites/first/vladchepel.github.io/cannaly/dist/images/products/product-thumb-5.jpg	(from https://vladchepel.github.io/cannaly/dist/)
19:13:28	16092/16092	---M--	200	added ('OK')	image/jpeg	etag:%225bd6191b-3edc%22	https://vladchepel.github.io/cannaly/dist/images/products/product-thumb-3.jpg	C:/My%20Web%20Sites/first/vladchepel.github.io/cannaly/dist/images/products/product-thumb-3.jpg	(from https://vladchepel.github.io/cannaly/dist/)
19:13:29	20049/20049	---M-Z	200	added ('OK')	text/html	etag:W/%225bd6191b-4e51%22	https://vladchepel.github.io/cannaly/dist/cart.html	C:/My%20Web%20Sites/first/vladchepel.github.io/cannaly/dist/cart.html	(from https://vladchepel.github.io/cannaly/dist/)
19:13:29	25107/25107	---M-Z	200	added ('OK')	text/html	etag:W/%225bd6191b-6213%22	https://vladchepel.github.io/cannaly/dist/checkout.html	C:/My%20Web%20Sites/first/vladchepel.github.io/cannaly/dist/checkout.html	(from https://vladchepel.github.io/cannaly/dist/)
19:13:30	2823/2823	---M--	200	added ('OK')	image/png	etag:%225bd6191b-b07%22	https://vladchepel.github.io/cannaly/dist/images/cannabis-company-logo.png	C:/My%20Web%20Sites/first/vladchepel.github.io/cannaly/dist/images/cannabis-company-logo.png	(from https://vladchepel.github.io/cannaly/dist/)
19:13:30	213708/213708	---M--	200	added ('OK')	image/jpeg	etag:%225bd6191b-342cc%22	https://vladchepel.github.io/cannaly/dist/images/cannabis-company-bg.jpg	C:/My%20Web%20Sites/first/vladchepel.github.io/cannaly/dist/images/cannabis-company-bg.jpg	(from https://vladchepel.github.io/cannaly/dist/)
19:13:31	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225c1d106f-247b%22	https://vladchepel.github.io/cannaly/dist/finchandsons.com	C:/My%20Web%20Sites/first/vladchepel.github.io/cannaly/dist/finchandsons.com	(from https://vladchepel.github.io/cannaly/dist/)
19:13:31	19506/19506	---M--	200	added ('OK')	image/jpeg	etag:%225bd6191b-4c32%22	https://vladchepel.github.io/cannaly/dist/images/products/product-thumb-1.jpg	C:/My%20Web%20Sites/first/vladchepel.github.io/cannaly/dist/images/products/product-thumb-1.jpg	(from https://vladchepel.github.io/cannaly/dist/)
19:13:31	18337/18337	---M-Z	200	added ('OK')	text/html	etag:W/%225bd6191b-47a1%22	https://vladchepel.github.io/cannaly/dist/product.html	C:/My%20Web%20Sites/first/vladchepel.github.io/cannaly/dist/product.html	(from https://vladchepel.github.io/cannaly/dist/)
19:13:32	13632/13632	---M--	200	added ('OK')	image/jpeg	etag:%225bd6191b-3540%22	https://vladchepel.github.io/cannaly/dist/images/products/product-thumb-2.jpg	C:/My%20Web%20Sites/first/vladchepel.github.io/cannaly/dist/images/products/product-thumb-2.jpg	(from https://vladchepel.github.io/cannaly/dist/)
19:13:32	3635/3635	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225bd6191b-e33%22	https://vladchepel.github.io/cannaly/dist/images/logo.svg	C:/My%20Web%20Sites/first/vladchepel.github.io/cannaly/dist/images/logo.svg	(from https://vladchepel.github.io/cannaly/dist/)
19:13:34	1896/1896	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd4a9a-768%22	https://cdnjs.cloudflare.com/ajax/libs/svg4everybody/2.1.9/svg4everybody.min.js	C:/My%20Web%20Sites/first/cdnjs.cloudflare.com/ajax/libs/svg4everybody/2.1.9/svg4everybody.min.js	(from https://vladchepel.github.io/cannaly/dist/)
